name,elected,party,constituency,votes,history,club,dob,education,expired,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate,party_name,party_acronym
Agnieszka Kołacz-Leszczyńska,09-10-2011,Platforma Obywatelska,2 Wałbrzych,6762,brak,Klub Parlamentarny Platforma Obywatelska,"19-10-1972, Wałbrzych",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Lech Kołakowski,09-10-2011,Prawo i Sprawiedliwość,24 Białystok,13502,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"13-06-1963, Zambrów",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Robert Kołakowski,09-10-2011,Prawo i Sprawiedliwość,16 Płock,9314,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"15-03-1963, Ciechanów",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Ewa Kołodziej,09-10-2011,Platforma Obywatelska,31 Katowice,14149,brak,Klub Parlamentarny Platforma Obywatelska,"02-09-1978, Katowice",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Zbigniew Konwiński,09-10-2011,Platforma Obywatelska,26 Gdynia,18548,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"24-03-1974, Słupsk",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Ewa Kopacz,09-10-2011,Platforma Obywatelska,17 Radom,41554,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"03-12-1956, Skaryszew",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Domicela Kopaczewska,09-10-2011,Platforma Obywatelska,5 Toruń,16992,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"04-10-1958, Aleksandrów Kujawski",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Sławomir Kopyciński,09-10-2011,Sojusz Lewicy Demokratycznej,33 Kielce,7003,poseł VI kadencji,Koło Poselskie Biało-Czerwoni,"29-12-1975, Kielce",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Biało-Czerwoni,B-C
Leszek Korzeniowski,09-10-2011,Platforma Obywatelska,21 Opole,30454,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"01-01-1955, Warszawa",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Roman Jacek Kosecki,09-10-2011,Platforma Obywatelska,19 Warszawa,4603,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"15-02-1966, Piaseczno",średnie zawodowe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Roman Kotliński,09-10-2011,Ruch Palikota,9 Łódź,17720,brak,Poseł niezrzeszony,"15-03-1967, Koło",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Henryk Kowalczyk,09-10-2011,Prawo i Sprawiedliwość,18 Siedlce,13713,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"15-07-1956, Żabianka",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Sławomir Kowalski,09-10-2011,Platforma Obywatelska,27 Bielsko-Biała,13389,senator VII kadencji,Klub Parlamentarny Platforma Obywatelska,"14-04-1961, Katowice",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:1:1,2,2,2,2,Platforma Obywatelska,PO
Bartosz Kownacki,09-10-2011,Prawo i Sprawiedliwość,4 Bydgoszcz,7735,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"11-08-1979, Warszawa",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Jacek Kozaczyński,09-10-2011,Platforma Obywatelska,18 Siedlce,6804,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"31-01-1968, Siedlce",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jerzy Kozdroń,09-10-2011,Platforma Obywatelska,25 Gdańsk,9913,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"23-10-1950, Mrągowo",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Iwona Kozłowska,09-10-2011,Platforma Obywatelska,4 Bydgoszcz,4668,brak,Klub Parlamentarny Platforma Obywatelska,"11-08-1963, Więcbork",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Agnieszka Kozłowska-Rajewicz,09-10-2011,Platforma Obywatelska,39 Poznań,27807,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"04-12-1969, Kętrzyn",wyższe,2014-05-27,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Mirosław Koźlakiewicz,09-10-2011,Platforma Obywatelska,16 Płock,11000,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"11-06-1957, Kunki",wyższe,None,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1,Platforma Obywatelska,PO
Maks Kraczkowski,09-10-2011,Prawo i Sprawiedliwość,38 Piła,10389,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"09-03-1979, Warszawa",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Ligia Krajewska,09-10-2011,Platforma Obywatelska,19 Warszawa,3590,brak,Klub Parlamentarny Platforma Obywatelska,"12-02-1949, Usza Mała",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Leonard Krasulski,09-10-2011,Prawo i Sprawiedliwość,34 Elbląg,12790,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"08-11-1950, Sopot",średnie ogólne,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Robert Kropiwnicki,09-10-2011,Platforma Obywatelska,1 Legnica,6029,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"23-07-1974, Legnica",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Elżbieta Kruk,09-10-2011,Prawo i Sprawiedliwość,6 Lublin,30048,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"19-11-1959, Lublin",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Łukasz Krupa,09-10-2011,Ruch Palikota,4 Bydgoszcz,18401,brak,Poseł niezrzeszony,"20-04-1981, Bydgoszcz",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Marek Krząkała,09-10-2011,Platforma Obywatelska,30 Rybnik,25938,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"22-10-1967, Rybnik",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Cezary Kucharski,09-10-2011,Platforma Obywatelska,6 Lublin,7910,brak,Klub Parlamentarny Platforma Obywatelska,"17-02-1972, Łuków",średnie ogólne,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Marek Kuchciński,09-10-2011,Prawo i Sprawiedliwość,22 Krosno,23128,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"09-08-1955, Przemyśl",średnie policealne/pomaturalne,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Barbara Kudrycka,09-10-2011,Platforma Obywatelska,24 Białystok,41047,brak,Klub Parlamentarny Platforma Obywatelska,"22-01-1956, Kolno",wyższe,2014-05-27,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Zbigniew Kuźmiuk,09-10-2011,Prawo i Sprawiedliwość,17 Radom,29223,poseł IV kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"19-09-1956, Komorowo",wyższe,2014-05-27,0:0:0:1:0:0:1,0:0:0:0:0:0:0:1,2,1,3,1,Prawo i Sprawiedliwość,PiS
Adam Kwiatkowski,09-10-2011,Prawo i Sprawiedliwość,19 Warszawa,6284,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"07-12-1972, Warszawa",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Jacek Kwiatkowski,09-10-2011,Ruch Palikota,37 Konin,13380,brak,Koło Poselskie Ruch Palikota,"26-04-1970, Konin",średnie zawodowe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Ruch Palikota,RP
Krzysztof Kwiatkowski,09-10-2011,Platforma Obywatelska,9 Łódź,68814,senator VII kadencji,Klub Parlamentarny Platforma Obywatelska,"14-05-1971, Zgierz",wyższe,2013-08-09,0:0:0:0:0:0:1,0:0:0:0:0:0:1:1,2,2,2,2,Platforma Obywatelska,PO
Stanisław Lamczyk,09-10-2011,Platforma Obywatelska,26 Gdynia,12664,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"12-08-1957, Brusy",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Józef Lassota,09-10-2011,Platforma Obywatelska,13 Kraków,10241,poseł III kadencji,Klub Parlamentarny Platforma Obywatelska,"24-10-1943, Siedliska",wyższe,None,0:0:1:0:0:0:1,0:0:0:0:0:0:0:1,2,1,3,1,Platforma Obywatelska,PO
Tomasz Latos,09-10-2011,Prawo i Sprawiedliwość,4 Bydgoszcz,20308,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"08-03-1964, Poznań",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Tomasz Lenz,09-10-2011,Platforma Obywatelska,5 Toruń,28998,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"08-12-1968, Mogilno",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Izabela Leszczyna,09-10-2011,Platforma Obywatelska,28 Częstochowa,18737,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"03-09-1962, Częstochowa",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Andrzej Lewandowski,09-10-2011,Ruch Palikota,40 Koszalin,11128,brak,Koło Poselskie Ruch Palikota,"18-04-1954, Darłowo",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Ruch Palikota,RP
Krzysztof Lipiec,09-10-2011,Prawo i Sprawiedliwość,33 Kielce,6774,"senator IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"11-10-1959, Starachowice",wyższe,None,0:0:0:0:1:1:1,0:0:0:1:0:0:0:1,4,1,4,2,Prawo i Sprawiedliwość,PiS
Adam Lipiński,09-10-2011,Prawo i Sprawiedliwość,1 Legnica,25523,"poseł I kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"11-09-1956, Głubczyce",wyższe,None,1:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,6,1,Prawo i Sprawiedliwość,PiS
Arkadiusz Litwiński,09-10-2011,Platforma Obywatelska,41 Szczecin,9396,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"31-07-1970, Szczecin",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Marek Łapiński,09-10-2011,Platforma Obywatelska,3 Wrocław,6357,brak,Klub Parlamentarny Platforma Obywatelska,"19-07-1971, Trzebnica",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Marek Łatas,09-10-2011,Prawo i Sprawiedliwość,12 Kraków,12466,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"20-04-1960, Myślenice",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Zofia Ławrynowicz,09-10-2011,Platforma Obywatelska,41 Szczecin,5057,brak,Klub Parlamentarny Platforma Obywatelska,"26-04-1964, Stargard Szczeciński",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Jan Łopata,09-10-2011,Polskie Stronnictwo Ludowe,6 Lublin,8725,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"16-08-1954, Motycz",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Polskie Stronnictwo Ludowe,PSL
Maciej Łopiński,09-10-2011,Prawo i Sprawiedliwość,25 Gdańsk,15794,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"19-08-1947, Gdańsk",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Mieczysław Marcin Łuczak,09-10-2011,Polskie Stronnictwo Ludowe,11 Sieradz,9373,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"09-07-1955, Wieluń",wyższe,2015-02-02,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Polskie Stronnictwo Ludowe,PSL
Krystyna Łybacka,09-10-2011,Sojusz Lewicy Demokratycznej,39 Poznań,16616,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"10-02-1946, Jutrosin",wyższe,2014-05-27,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1,Sojusz Lewicy Demokratycznej,SLD
Marzena Machałek,09-10-2011,Prawo i Sprawiedliwość,1 Legnica,11812,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"29-08-1960, Wrocław",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Antoni Macierewicz,09-10-2011,Prawo i Sprawiedliwość,10 Piotrków Trybunalski,41871,"poseł I kadencji, poseł III kadencji, poseł IV kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"03-08-1948, Warszawa",wyższe,None,1:0:1:1:0:1:1,0:0:0:0:0:0:0:1,3,1,6,1,Prawo i Sprawiedliwość,PiS
Tomasz Makowski,09-10-2011,Ruch Palikota,35 Olsztyn,7980,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"01-03-1973, Ełk",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Ewa Malik,09-10-2011,Prawo i Sprawiedliwość,32 Sosnowiec,25214,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"11-01-1961, Sosnowiec",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Mirosław Maliszewski,09-10-2011,Polskie Stronnictwo Ludowe,17 Radom,9815,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"28-02-1968, Warszawa",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Polskie Stronnictwo Ludowe,PSL
Beata Małecka-Libera,09-10-2011,Platforma Obywatelska,32 Sosnowiec,23822,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"17-05-1954, Dąbrowa Górnicza",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Maciej Małecki,09-10-2011,Prawo i Sprawiedliwość,16 Płock,9757,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"09-10-1974, Warszawa",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Małgorzata Marcinkiewicz,09-10-2011,Ruch Palikota,22 Krosno,10058,brak,Koło Poselskie Ruch Palikota,"26-01-1962, Przemyśl",średnie zawodowe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Ruch Palikota,RP
Jagna Marczułajtis-Walczak,09-10-2011,Platforma Obywatelska,13 Kraków,7289,brak,Klub Parlamentarny Platforma Obywatelska,"15-12-1978, Zakopane",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Gabriela Masłowska,09-10-2011,Prawo i Sprawiedliwość,6 Lublin,17777,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"27-06-1950, Batorz",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Marcin Mastalerek,09-10-2011,Prawo i Sprawiedliwość,11 Sieradz,8509,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"15-09-1984, Szczecin",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Jerzy Materna,09-10-2011,Prawo i Sprawiedliwość,8 Zielona Góra,12868,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"25-03-1956, Zielona Góra",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Grzegorz Matusiak,09-10-2011,Prawo i Sprawiedliwość,30 Rybnik,6889,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"24-02-1961, Jaworzno",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Katarzyna Matusik-Lipiec,09-10-2011,Platforma Obywatelska,13 Kraków,22178,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"29-06-1975, Gorlice",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Zbigniew Matuszczak,09-10-2011,Sojusz Lewicy Demokratycznej,7 Chełm,8017,poseł VI kadencji,Klub Poselski Sojusz Lewicy Demokratycznej,"21-09-1962, Biłgoraj",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Sojusz Lewicy Demokratycznej,SLD
Marek Matuszewski,09-10-2011,Prawo i Sprawiedliwość,11 Sieradz,16207,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"14-08-1959, Zgierz",średnie zawodowe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Beata Mazurek,09-10-2011,Prawo i Sprawiedliwość,7 Chełm,22249,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"19-10-1967, Ostrów Mazowiecka",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Antoni Mężydło,09-10-2011,Platforma Obywatelska,5 Toruń,17077,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"23-08-1954, Lubawa",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Krzysztof Michałkiewicz,09-10-2011,Prawo i Sprawiedliwość,6 Lublin,11816,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"26-09-1953, Oborniki Śląskie",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Leszek Miller,09-10-2011,Sojusz Lewicy Demokratycznej,26 Gdynia,18038,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"03-07-1946, Żyrardów",wyższe,None,1:1:1:1:0:0:1,0:0:0:0:0:0:0:1,2,1,6,1,Sojusz Lewicy Demokratycznej,SLD
Rajmund Miller,09-10-2011,Platforma Obywatelska,21 Opole,8901,brak,Klub Parlamentarny Platforma Obywatelska,"16-07-1954, Kielce",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Konstanty Miodowicz,09-10-2011,Platforma Obywatelska,33 Kielce,14202,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"09-01-1951, Gniewkowo",wyższe,2013-08-23,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1,Platforma Obywatelska,PO
Kazimierz Moskal,09-10-2011,Prawo i Sprawiedliwość,23 Rzeszów,14234,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"02-02-1962, Żyraków",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Czesław Mroczek,09-10-2011,Platforma Obywatelska,18 Siedlce,22985,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"20-07-1964, Kałuszyn",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Maciej Mroczek,09-10-2011,Ruch Palikota,8 Zielona Góra,15335,brak,Koło Poselskie Ruch Palikota,"01-04-1973, Zielona Góra",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Ruch Palikota,RP
Izabela Katarzyna Mrzygłocka,09-10-2011,Platforma Obywatelska,2 Wałbrzych,31697,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"20-05-1959, Wałbrzych",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Joanna Mucha,09-10-2011,Platforma Obywatelska,6 Lublin,45568,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"12-04-1976, Płońsk",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Arkadiusz Mularczyk,09-10-2011,Prawo i Sprawiedliwość,14 Nowy Sącz,45801,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Zjednoczona Prawica,"04-02-1971, Racibórz",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Zjednoczona Prawica,ZP
Killion Munyama,09-10-2011,Platforma Obywatelska,38 Piła,7925,brak,Klub Parlamentarny Platforma Obywatelska,"10-07-1961, Makala",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Piotr Naimski,09-10-2011,Prawo i Sprawiedliwość,14 Nowy Sącz,5388,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"02-02-1951, Warszawa",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Jacek Najder,09-10-2011,Ruch Palikota,38 Piła,11701,brak,Koło Poselskie Biało-Czerwoni,"20-03-1978, Wągrowiec",średnie ogólne,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Biało-Czerwoni,B-C
Grzegorz Napieralski,09-10-2011,Sojusz Lewicy Demokratycznej,41 Szczecin,23940,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Koło Poselskie Biało-Czerwoni,"18-03-1974, Szczecin",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Biało-Czerwoni,B-C
Anna Nemś,09-10-2011,Platforma Obywatelska,32 Sosnowiec,9086,brak,Klub Parlamentarny Platforma Obywatelska,"19-03-1964, Ogrodzieniec",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Sławomir Neumann,09-10-2011,Platforma Obywatelska,25 Gdańsk,14346,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"30-04-1968, Starogard Gdański",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Dorota Niedziela,09-10-2011,Platforma Obywatelska,12 Kraków,6166,brak,Klub Parlamentarny Platforma Obywatelska,"20-08-1964, Oświęcim",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Małgorzata Niemczyk,09-10-2011,Platforma Obywatelska,9 Łódź,10959,brak,Klub Parlamentarny Platforma Obywatelska,"25-10-1969, Łódź",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Stefan Niesiołowski,09-10-2011,Platforma Obywatelska,8 Zielona Góra,36993,"poseł X kadencji, poseł I kadencji, poseł III kadencji, senator VI kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"04-02-1944, Kałęczew",wyższe,None,1:0:1:0:0:1:1,0:0:0:0:0:1:0:1,3,1,5,2,Platforma Obywatelska,PO
Maria Nowak,09-10-2011,Prawo i Sprawiedliwość,31 Katowice,10820,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"31-03-1950, Chorzów",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Sławomir Nowak,09-10-2011,Platforma Obywatelska,25 Gdańsk,65629,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Poseł niezrzeszony,"11-12-1974, Gdańsk",wyższe,2015-01-02,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Niezrzeszony,nz.
Tomasz Piotr Nowak,09-10-2011,Platforma Obywatelska,37 Konin,24346,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"22-12-1956, Kwidzyn",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
